date,item_id,store_id,item_count
2021-10-31,63,3,1
2020-12-11,62,1,2
2021-10-02,1,2,1
2021-12-04,22,5,1
2021-11-27,92,5,1
2021-03-28,90,2,1
2021-07-04,94,5,1
2020-04-09,95,2,2
2020-01-16,2,1,3
2020-09-24,33,2,1
2020-10-11,95,2,1
2020-02-04,90,5,2
2021-08-24,7,4,2
2021-02-16,89,5,4
2021-11-06,73,3,4
2021-07-01,96,5,1
2020-08-04,30,1,1
2020-12-07,19,1,1
2020-03-16,28,4,1
2021-01-01,69,3,2
2020-02-08,42,2,1
2020-08-10,35,5,1
2020-08-17,13,2,1
2021-09-25,29,5,1
2021-10-09,65,4,1
2020-05-11,31,3,2
2020-02-08,45,5,1
2021-09-29,92,5,2
2020-07-09,25,1,1
2020-05-28,85,3,3
2021-11-06,20,1,1
2020-08-20,15,1,2
2020-12-23,28,5,1
2020-12-13,8,2,1
2021-06-23,41,4,4
2021-05-16,73,1,1
2021-07-11,6,2,1
2021-03-25,30,2,1
2020-01-05,33,1,1
2020-08-26,85,2,1
2021-09-01,1,5,1
2021-04-02,85,1,1
2020-02-20,4,1,2
2020-02-03,72,2,1
2021-02-04,47,5,2
2020-04-12,98,2,1
2020-11-30,63,2,1
2020-06-14,79,4,1
2020-02-22,43,3,1
2021-10-24,95,3,1
2021-06-03,4,1,3
2021-11-02,51,3,2
2021-04-10,61,5,1
2021-10-06,90,2,1
2020-03-13,47,1,2
2020-02-17,26,4,2
2021-11-22,56,2,2
2020-03-18,26,3,1
2020-09-30,99,3,1
2021-09-22,74,1,2
2020-03-26,44,1,3
2020-07-30,10,3,2
2020-05-25,86,2,1
2021-01-03,42,1,1
2021-03-18,70,5,3
2021-03-12,70,4,3
2021-03-21,95,1,1
2020-08-30,36,2,1
2021-08-28,51,1,2
2021-10-06,68,3,1
2021-06-15,47,1,2
2020-11-15,11,4,1
2020-09-15,50,2,1
2021-08-18,73,1,1
2021-07-03,94,1,3
2020-08-23,75,1,1
2020-11-15,64,5,1
2020-08-16,30,3,1
2020-01-05,78,2,3
